,productTitle,originalPrice,price,sold,tagText,Discount_percentage
67,"Dresser for Bedroom, Storage with 5 Drawer Organizer Closet Chest Small Clothes Fabric Cabinet, Kids Furniture Drawer Binis",0.0,36.39,0,100,-inf
68,Modern Faux Leather Sofa Bed Convertible Folding Futon With Armrest Home Recliner Home Furniture for Living Living Room Sofas,0.0,105.3,4,100,-inf
69,"King Size Bed Frame Heavy Duty Bed Frame With Faux Leather Headboard Bedroom Furniture 12"" Under-Bed Storage Black",0.0,101.98,0,100,-inf
70,"3 PCS Patio Conversation Set, Solid Eucalyptus Wood Frame Outdoor Wicker Furniture Set Bistro Set with Coffee Table",0.0,117.66,0,100,-inf
71,"LostCat Buffet Sideboard,Console Table with Storage,with 4 Drawers and Cabinets,Easy Assmebly for Kitchen,Dining Room",0.0,194.17,0,100,-inf
72,Length of Values Black Gaming Desk Table Office Furniture Computer Offices L Shaped Desk for Compuradora Desktops Furnitures,0.0,48.43,6,100,-inf
73,"Armoire Wardrobe Closet - White 32""W x 35""H x 20""D Cabinet for Functional Clothes Storage with Hanging Rail home furniture",0.0,159.73,0,100,-inf
74,"Living Room Sofa Set , L Shape Modular Storage Ottoman & Chaise, Comfy Corner Sofa Cup Holder Living Room Furniture Couch Sets",983.42,584.05,1,100,40.61031909052083
75,"Vanity Set,3 Color Touch Screen Dimming Mirror with Display, 4 Drawers,Makeup Dressing Table with Cushioned Stool Dressers",0.0,218.84,0,100,-inf
76,7 Pieces Patio Furniture Set - Outdoor Sectional Wicker Rattan Furniture with Cushion and Glass Table Patio Conversation,0.0,376.5,0,100,-inf
77,5 Pieces Patio Furniture Set Outdoor Sectional Rattan Daybed Conversation Sofa Set Wicker Couch with & Tempered Glass,0.0,219.63,0,100,-inf
78,"Aluminum Patio Furniture Set, Modern Patio Conversation Set, All Weather Dark Grey Outdoor Sectional Sofa Set w/Table",0.0,497.44,1,100,-inf
79,"Smug Recliner Chair Massage Reclining for Adults, Comfortable Fabric Recliner Sofa Adjustable Home Theater Seating Lounge with P",0.0,106.19,0,100,-inf
80,"Nightstand,Bedside Tables with Fabric Storage Drawer and Open Wood Shelf,Bedside Furniture,Mesa de Noche Drawers,",0.0,21.22,3,100,-inf
81,"GTPLAYER Chair Computer Gaming Chair (Leather, Ivory)， office furniture gaming chair",0.0,129.68,8,100,-inf
82,Makeup Table With 5 Drawers & Shelves Vanity Table Set Large Vanity Desk With Mirror and Lights White and Gold Bedroom Furniture,0.0,143.98,0,100,-inf
83,Nathan James Bailey Upholstered Rattan Bar Stool in Oak Finish Frame,0.0,172.61,1,100,-inf
84,Modern Small Bedside Table with Drawer Lock Nordic Minimalist Bedside Cabinet Storage Cabinets Nightstands for Bedroom Furnitur,98.79,49.39,1,100,50.0050612410163
85,Dressers for Bedroom Milky-White Storage Makeup Vanity Desk With Large Lighted Mirror With Power Outlet and LED Strip Furniture,0.0,151.55,4,100,-inf
86,2/5 Pieces Patio Furniture Sets All Weather Outdoor Sectional Patio Sofa Manual Weaving Wicker Rattan Patio Seating Sofas,0.0,237.47,11,100,-inf
87,Retro Sideboard Glass Door with Curved Line Design Ample Storage Cabinet with Black Handle and Three Adjustable Shelves,0.0,282.27,0,100,-inf
88,"5 Piece Patio Furniture Set, Outdoor Dining Table Set with L-Shaped Sectional Sofa, 2 Ottomans, Outside Conversation",0.0,225.91,1,100,-inf
89,"3 Pieces Patio Furniture Set Outdoor Conversation Textilene Fabric Chairs for Lawn, Garden, Balcony, Poolside",0.0,55.96,1,100,-inf
90,"Greesum 3 Pieces Patio Furniture Set Outdoor Conversation Textilene Fabric Chairs for Garden,Balcony, with A Glass Coffee Table",0.0,74.17,0,100,-inf
91,"EASELAND Sofa Couch, 88” Chenille Loveseat Comfy Couches for Living Room, Modern Deep Seat Sofa with Removable Back and Seat Cus",0.0,305.08,1,100,-inf
92,"Sofa Bed Reversible Convertible Sleeper Pull Out Couches with Storage Chaise, Linen Fabric Furniture for Living Room, Apartment",633.27,342.3,19,100,45.94722630157752
